Question,Answer
TongWeb V8.0产品对比手册,"文档版本：80 9X XA0 2
202 5年12月"
版权,Copyright ©2025北京东方通科技股份有限公司或其关联公司（以下简称 “东方通”）。保留所有权利。
版权声明,"• 本文档的所有权和知识产权归属于东方通所有。
• 除非另有明确约定，东方通不授予任何明示或暗示的许可或权利，使用者不得以任何方式将本文档中的任何内容用于商业目的。
• 东方通对本文档享有版权。本文档的所有内容，包括但不限于文字、图像、图表、图标、示意图、屏幕截图等，均受版权法和国际版权条约的保护。
• 未经东方通明确授权，任何人不得对本文档以任何形式复制、修改、传播、分发、展示或进行衍生创作。"
商标声明,"• TongTech 标识以及其他相关东方通图形、徽标、服务名称和商标（以下统称为“东方通商标”）是东方通或其关联公司的注册商标或商标。
• 未经东方通明确授权，任何人不得以任何方式使用、复制或展示东方通商标。此外，未经东方通事先书面同意，不得将东方通商标与其他商标、标识或徽标进行混淆、链接或结合使用。
• 除非另有明确约定，本商标声明不授予任何明示或暗示的许可或权利，对东方通商标的使用须获得东方通的明确授权。
• 本文档提及的所有其他商标、标识、徽标或产品名称均为其各自所有者的财产，并可能受其各自的商标法保护。"
免责声明,"请在使用东方通产品之前仔细阅读本免责声明，并根据自身情况判断是否继续使用。如有任何问题，请联系我们的客户支持团队。
• 本产品的使用是基于用户自己的判断和风险评估。本文档仅作为使用指导，不对使用本产品所产生的结果做任何明示或暗示的担保。
• 东方通不对用户未按照本文档中的指导正确使用东方通产品而导致的任何损失或损害承担责任；
• 本文档可能会包含第三方提供的内容、链接或资源，这些内容由第三方自行负责。东方通对于这些内容的准确性、完整性、合法性或可靠性不承担责任。用户在使用这些内容时应自行判断和承担风险。
• 由于产品版本升级或其他原因，本文档内容会不定期更新。东方通保留在不事先通知用户的情况下随时对文档进行修改、更新或中止的权利。
如需获取有关东方通产品的许可或使用权，请联系东方通或授权代理商。任何违反本声明的行为将受到适用法律的追究。"
版本变更说明,"本章节记录了 8.0.9.XX 版本的所有变更说明。
• A02
<table><tr><td>序号</td><td>功能模块</td><td>功能说明</td><td>相关章节</td></tr><tr><td>1</td><td>产品版本</td><td>修改产品支持版本。</td><td>产品版本</td></tr></table>
• A01
首次发版。"
前言,本文档是 TongWeb 产品的用户使用手册之一，详细介绍了 TongWeb 的企业版、容器云版和嵌入式版之间的差异。通过这些差异对比，用户可更快速地找到最适合自己业务需求的版本。
阅读前注意事项,"通过阅读本文档，您确认并同意自行承担因未具备必要专业背景和知识而导致的任何风险或后果。在使用本文档中提供的信息和指南时，请始终谨慎，并在必要时寻求专业人士建议和指导。
• 适用对象
本文档主要适用于使用本产品的系统管理员阅读，部分内容同样适用于基于本产品进行应用开发或应用部署的人员阅读。
• 专业背景
本文内容可能涉及到操作系统、服务器硬件、网络等相关领域的知识。请确保您具备相关背景和知识，以便更好地理解和应用本手册的内容。
• 技能要求
为了能够充分理解和应用本文档的内容，建议您具备如下技能：
◦ 基本系统管理任务
◦ 掌握 Linux 系统基本操作
◦ 在终端窗口发布命令
◦ 使用 Web 浏览器
◦ 安装软件
• 术语和概念
本文档可能使用一些专业术语和概念。请确保您熟悉这些术语和概念，或者有能力查阅相关资料以便进一步理解。
• 实践经验
为了最大程度地受益于本文档，建议您具备一定实践经验。这将帮助您更好地应用文档中的操作指南和建议。
请注意，本文档不适用于没有相关专业背景和知识的用户。如果您对本文档的内容或所需背景有任何疑问，请在使用之前咨询相关专业人士或寻求额外的支持。"
用户手册集,"TongWeb 为您提供如下用户使用手册。
<table><tr><td>用户手册</td><td>说明</td></tr><tr><td>000_TongWeb_V8.0产品对比手册</td><td>详细介绍了TongWeb的版本差异以及如何选择TongWeb的产品等。</td></tr><tr><td>001_TongWeb_V8.0产品介绍手册</td><td>详细介绍了TongWeb的概述、体系结构、版本功能对比等信息。</td></tr><tr><td>002_TongWeb_V8.0安装与使用指引</td><td>详细介绍了TongWeb各平台上的安装启动、版本切换等说明。</td></tr><tr><td>003_TongWeb_V8.0控制台使用手册</td><td>详细介绍了TongWeb管理控制台对应用进行部署、管理操作等说明。</td></tr><tr><td>004_TongWeb_V8.0命令行工具手册</td><td>详细介绍了TongWeb命令行工具的使用说明。</td></tr><tr><td>005_TongWeb_V8.0REST API手册</td><td>详细介绍了TongWeb REST接口的使用说明。</td></tr><tr><td>006_TongWeb_V8.0常见问题手册</td><td>详细介绍了使用TongWeb过程中遇到的常见问题及解决方案。</td></tr><tr><td>007_TongWeb_V8.0安全加固手册</td><td>详细介绍了TongWeb常见的安全加固配置方法说明。</td></tr><tr><td>008_TongWeb_V8.0容器化部署手册</td><td>详细介绍了TongWeb在容器上的部署说明。</td></tr></table>"
技术支持,"东方通产品将为您提供全方位的技术支持，您可以通过以下方式获得技术支持：
• 网址：www.tongtech.com
• 电话：400-650-7088
• 邮箱：support@tongtech.com
您在取得技术支持时，请提供如下信息：
• 您的姓名
• 您的公司信息
• 您的联系方式
• 操作系统及其版本
• 产品版本号
• 日志等错误的详细信息"
