Question,Answer
1 技术指标类 -> 1.1 支持 JDK 版本是什么？,"JDK8-JDK24。 
• 支持 Oracle JDK，但部分 Oracle JDK 版本商用收费，在生产使用时请注意商业授权，或采用 OpenJDK、Tong JDK。
• 启用国密认证，JDK 要求 JDK8-JDK11。
• 使用虚拟线程，JDK 要求 JDK21。
• 需要安装 JDK，不能仅安装 JRE。仅安装 JRE 会导致 TongWeb 部分功能不能使用。
• Linux 下若使用 IBM JDK，则需要手动放置如下 jar 包到 “${tongweb.home}/lib/compatible” 目录，否则启动 TongWeb 失败。
◦ JDK 8.0 
```batch
bcprov-jdk15on-1.70.jar 
```
◦ JDK 8.0+ 
```batch
bcprov-jdk18on-1.78.1.jar 
```"
1 技术指标类 -> 1.2 支持的操作系统包含哪些？,"• Windows： 
Microsoft Windows 系列
• Linux： 
RedHat 系列、Suse Linux 系列、麒麟、统信 UOS、中科方德、欧拉等。
• Mac OS： 
Mac OS 系列"
1 技术指标类 -> 1.3 支持的数据库包含哪些？,"主流数据库：Oracle, MySQL5, MySQL8, Sybase 15, dameng, Kingbase, Kingbase8, Oscar, HSQL,Sybase type 4 for Sybase 11.x, jtds sybase, postgreSQL, SQLServer, Derby Client, Derby Embedded,IBM Type 4, gbase8t, gbase8s, sr, db2, highgo, uxdb, GaussDB 100, InspurK-DB, linkoopdb,OceanBase, MogDB 等。"
2 登录类 -> 2.1 验证码问题？,"在一些平台上，验证码无法正常显示，有两种解决方法（择其一即可）。
• 方法一：修改服务器 tongweb.xml（打开 Headless 系统配置模式）
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/26bcfec2544d99911182a6718877e3a764a8644fe666a417e84dd6eb65cba191.jpg)
◦ 系统默认开启 “服务器主配置文件防篡改”，TongWeb 运行期间禁止对主配置文件 “tongweb.xml” 进行修改。
◦ 若需要修改 “tongweb.xml”，请确保 TongWeb 服务器处于停止状态或 “服务器主配置文件防篡改”（可进入 “安全管理” $>$ “安全策略” $>$ “文件防篡改” 模块修改）关闭。
1. 进入 “${tongweb.base}/conf” 目录。
2. 打开 “tongweb.xml” 文件。
3. 将 “-Djava.awt.headless=true” 功能打开，如下所示。
```txt
<arg enabled=""true"">- Djava.awt.headless=true</arg> 
```
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/7bab9a23094c7e52c24c973da6e8e605767f10dd388652e3058d4bdff12e1dd8.jpg)
该操作可兼容大部分平台，该参数由 JDK 提供，打开后可能对应用性能有所影响。
• 方法二：修改服务器 console.xml（禁用验证码功能）
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/1a508c946c9e01d871c7d989b9427f987214dc630f4a069656fc7df2c7924dcf.jpg)
◦ 系统默认开启 “服务器主配置文件防篡改”，TongWeb 运行期间禁止对主配置文件 “console.xml” 进行修改。
◦ 若需要修改 “console.xml”，请确保 TongWeb 服务器处于停止状态或 “服务器主配置文件防篡改”（可进入 “安全管理” > “安全策略” > “文件防篡改” 模块修改）关闭。
1. 进入 “${tongweb.base}/conf” 目录。
2. 打开 “console.xml” 文件。
3. 将 “VerCodeEnabled” 参数设置为 “false”，可禁用验证码功能。"
2 登录类 -> 2.2 启动 TongWeb 服务器后，在本机通过命令修改密码时报错？,"问题现象：
启动 TongWeb 服务器后，通过命令修改密码时报错，如下图所示。
```ini
[root@centos bin]# sh commandstool.sh --model=password --action=update --username=thanos --password=Thanos123.com --acceptAgreement=true  
password=Thanos123.com newPassword=Thanos12.com confirmPassword=Thanos12.com  
Execute the command: commandstool  
连接失败，请检查连接的主机、端口是否正确或目标TongWeb是否已启动。  
[root@centos bin]#
```原因分析：
连接主机的端口号不正确，不再是默认的“9060”。
解决方案：
在执行的命令中，添加 “--port”，指向实际的端口。
1. 进入 “${tongweb.base}/conf” 目录。
2. 打开 “tongweb.xml” 文件，查看并获取控制台的端口，如 “8090”。
```xml
<connector SSLEnabled=""true"" address=""0.0.0.0"" clientAuth=""false"" keystoreFile=""conf/server.Keystore"" keystorePass=""jo+fvRppEjYJWnAqSYOpfg=="" maxSwallowSize=""2097152"" maxThreads=""24"" minSpareThreads=""5"" name=""admin"" port=""8090"" scheme=""https"" secure=""true"" sslEnabledProtocols=""TLSv1.2"" sslProtocol=""TLSv1.2"" systemManaged=""true"" truststoreFile=""conf/server.Keystore"" truststorePass=""jo+fvRppEjYJWnAqSYOpfg=="" /> 
```
3. 执行命令时，添加 “--port” 指向实际端口 $"" 8 0 9 0 ""$ ，如下所示。
```batch
sh commandstool.sh --model=password --action=update --username=thanos --password=thanos123.com  
--acceptAgreement=true --port=8090 originalPassword=thanos123.com newPassword=Thanos12.com  
confirmPassword=Thanos12.com 
```
4. 命令执行完成后，即可查看到“修改密码更新成功”的提示信息。"
2 登录类 -> 2.3 如何设置信任IP？,"出于安全考虑，TongWeb 对于非信任 IP 禁止登录 TongWeb 管理控制台。用户将无法进行任何操作。默认仅安装 TongWeb 的本机受信任。
当使用远程浏览器访问 TongWeb 控制台前，请在安装 TongWeb 的本机将远程浏览器所在主机的 IP 设置为“信任 IP”。
信任 IP 可为具体的 IP、匹配 IP 的正则表达式或通配符 IP（如：168.1.2.*，168.1.4.5-168.1.4.99）。
设置为 “*” 表示信任所有机器（不建议）。"
2 登录类 -> 2.3 如何设置信任IP？ -> 2.3.1 限制说明,"• 针对本机浏览器
安装 TongWeb 后，默认仅本机受信任，本机操作不受限制。
• 针对远程浏览器
在安装 TongWeb 的本机将远程访问 TongWeb 控制台的主机 IP 设置为 “信任 IP” 后，远程浏览器才有权限执行相关操作。"
2 登录类 -> 2.3 如何设置信任IP？ -> 2.3.2 限制现象,"当使用远程浏览器访问 TongWeb 控制台，并且没有设置信任 IP，可能会遇到 “该操作仅限于在服务器本机或受信任的IP上执行” 等提示信息，如下图所示。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/e9d781a561602db73863e514c297c60666e7d773e6f512774ea11b981e4b204c.jpg)"
2 登录类 -> 2.3 如何设置信任IP？ -> 2.3.3 方式一：控制台设置信任IP,"注意事项：需要浏览器所在 IP 是服务器本机或者已受信任。
控制台设置信任IP
1. 登录 TongWeb 管理控制台。
2. 在控制台左上角，单击 “集中管理”，进入集中管理页面。
3. 在左侧导航栏中，选择 “安全配置” $>$ “控制台安全”，进入控制台安全页面。
![image](https://cdn-mineru.openxlab.org.cn/result/2026-02-12/74b543db-ed7f-4e00-9dd6-394d463bb982/6e43d5b777454a8f459e3c5beef1e4b20be8e48e4bf35809814cce6864347c29.jpg)
4. 配置信任 IP。
指定信任的客户端 IP 地址，其值可为具体的 IP、匹配 IP 的正则表达式或通配符 IP（如：168.1.2.*，168.1.4.5-168.1.4.99）。
5. 配置完成后，单击“更新”，即可完成控制台安全的配置。
若界面弹出“控制台安全更新成功”，则说明控制台安全配置成功。"
2 登录类 -> 2.3 如何设置信任IP？ -> 2.3.4 方式二：命令行设置信任IP,"启动 TongWeb，并进入 “${tongweb.home}/bin” 目录，执行如下命令，设置信任IP。
如下以信任IP为“192.168.1.1”为例说明。
```batch
sh commandstool.sh --username=thanos --password=Thanos12.com --acceptAgreement=true --model=consolesecurity --action=update trustedIP=192.168.1.1 
```
若设置的是正则表达式，则需要先进行编码，编码方式如下所示。
1. 进入 TongWeb 管理控制台。
2. 切换到目标实例。
3. 选择“基础配置” $"" > ""$ “加密工具”，进入加密工具页面。
4. 加密类型选择“特殊字符”。
5. 单击“加密”，即可得到加密结果。"
